filename,Opt-D&S(1st),Opt-D&S(10st),MV-D&S(1st),MV-D&S(10st),Majority Vote,KOS,Ghosh-SVD,EigenRatio
M=10_N=1000_crowd.txt,0.092,0.085,0.508,0.508,0.146,0.105,0.11,0.095
M=10_N=1500_crowd.txt,0.111333333333333,0.0973333333333333,0.5,0.5,0.172666666666667,0.115333333333333,0.114,0.116666666666667
M=10_N=2000_crowd.txt,0.121,0.11,0.515,0.515,0.18575,0.134,0.1365,0.114
M=10_N=2500_crowd.txt,0.1152,0.1148,0.5124,0.5124,0.1434,0.2172,0.2204,0.13
M=10_N=500_crowd.txt,0.114,0.084,0.098,0.082,0.144,0.128,0.174,0.098
